year,region,country,modularity,in-conductance,out-conductance
2008,America,United States,0.25780941792573664,0.2648875959492701,0.1792002139407417
2008,Asia and Pacific,Japan,0.12744746388852907,0.2295381456820253,0.1320509895144359
2008,Asia and Pacific,China,0.19261408137800934,0.2562923180786472,0.14968105984407373
2008,America,Canada,0.028460010220659006,0.5134814842246146,0.3065673570705289
2008,Asia and Pacific,South Korea,0.03291190959643373,0.523063096920461,0.3736138251153622
2008,America,Brazil,0.03735004763025949,0.24184658756352198,0.13505481314318094
2008,Asia and Pacific,India,0.034386894486958045,0.3603424547889263,0.23383058902711126
2008,America,Mexico,0.02133599428111154,0.48394153524941536,0.32019722914161847
2008,Europe,Russia,0.0311988307759882,0.4561814681699068,0.21681701943899237
2008,Asia and Pacific,Australia,0.025987700844748857,0.3599651835694675,0.22266144032575716
2008,Europe,Switzerland,0.012430207081265125,0.6564562199145608,0.47086233909847097
2008,Middle East,Turkey,0.01780209353071024,0.37105719377525787,0.24888194780556197
2008,Asia and Pacific,Taiwan,0.009586379410787462,0.8345774050730745,0.7220615362612565
2008,Europe,Norway,0.010772745704617242,0.4982347239914821,0.23575230461712676
2008,Asia and Pacific,Indonesia,0.01297678694992912,0.42928380599929095,0.27353434218865513
2008,Africa,South Africa,0.009045682800536779,0.33527652746213826,0.21456757698840212
2008,Asia and Pacific,RoW Asia and Pacific,0.03409075585669739,0.9308203577680797,0.8684785213987055
2008,America,RoW America,0.03044955688385268,0.5626247603198365,0.3904684730712193
2008,Europe,RoW Europe,0.012688262853895545,0.5138929769485157,0.3966391633857913
2008,Africa,RoW Africa,0.021322615498771166,0.627189782585581,0.40348781589124294
2008,Middle East,RoW Middle East,0.028945738549658925,0.7833911692532093,0.5682353457089161
2009,Europe,Austria,0.009313971207381415,0.5682578895391968,0.3978696796393511
2009,Europe,Belgium,0.011848419711628956,0.7081114471969395,0.5408975476371701
2009,Europe,Bulgaria,0.0027938934862930093,0.356497407571635,0.2342505495040573
2009,Middle East,Cyprus,0.0008454656344361155,0.4207979070448693,0.29336888015548607
2009,Europe,Czech Republic,0.009118328090926383,0.44868589529530933,0.3008515407455297
2009,Europe,Germany,0.0717365534861934,0.5010956448382803,0.30513126686056513
2009,Europe,Denmark,0.008159290177542827,0.5400926738943381,0.36890955245153084
2009,Europe,Estonia,0.0008130950886935806,0.4761733385942928,0.3155467742911113
2009,Europe,Spain,0.0373920806736861,0.3459446367703165,0.22485048085398204
2009,Europe,Finland,0.0075744085275467376,0.4669373074317737,0.3077383381859792
2009,Europe,France,0.05321727873297842,0.4421634746715978,0.2962695602259092
2009,Europe,Greece,0.007249704164727399,0.383444236383967,0.27215266423969886
2009,Europe,Croatia,0.0021215025825352457,0.3727867181475557,0.24652806542567232
2009,Europe,Hungary,0.00443459764015647,0.6591539818113447,0.490328893402269
2009,Europe,Ireland,0.007208348129595083,0.799433784367014,0.6512203642250108
2009,Europe,Italy,0.054831643303588085,0.36519353253291004,0.24750232858883597
2009,Europe,Lithuania,0.0011375964164432994,0.48482174912163667,0.30181674927913804
2009,Europe,Luxembourg,0.0034467285953781583,0.4939620617850841,0.29157272286155494
2009,Europe,Latvia,0.0011225337064585126,0.3828984974643899,0.25406506288636294
2009,Europe,Malta,0.0004800979581542064,0.5845109211593045,0.40783689537866347
