,year,country,sector,oil,length_ratio,length
8,2020,Solar thermal elec. prod.,Other countries,,,
9,2020,Nuclear elec. prod.,Other countries,,,
0,2020,"Lead, zinc and tin prod.",Other countries,,,
1,2020,Glass prod.,Other countries,,,
2,2020,Ceramic goods,Other countries,,,
3,2020,Gas elec. prod.,Other countries,,,
4,2020,Aluminium prod.,Other countries,,,
5,2020,Fertilizers,Other countries,,,
6,2020,Gaseous fuels distribution,Other countries,,,
7,2020,Chemicals,Other countries,,,
8,2020,Petroleum elec. prod.,Other countries,,,
9,2020,Petroleum Refinery,Other countries,,,
