,year,country,sector,coal,length_ratio,length
39,2005,Czechia,Nickel,31.934327997466585,0.14108456222018864,0.443532333298147
40,2005,Czechia,Aluminium,30.119950968863044,0.13306871830441236,0.4183326523453201
41,2005,Czechia,Coke oven products,21.84115562032627,0.09649333718001525,0.3033493836156426
42,2005,Czechia,Other sectors,11.615321457923216,0.05131601776833585,0.16132390913782246
0,2006,Romania,Coke oven products,-72.72495110768303,0.4500295023318408,-1.0100687653844864
1,2006,Romania,Iron,-25.04992458073263,0.15501151834155436,-0.34791561917684205
2,2006,Romania,Precious metals prod.,-17.937021329022528,0.11099613900136174,-0.24912529623642396
3,2006,Romania,Other sectors,-45.88851080217499,0.28396284032524316,-0.6373404278079859
4,2006,Japan,Coal elec. prod.,-73.17670804016436,0.6099335704202316,-1.0163431672245051
5,2006,Japan,Construction products,-29.679225472356816,0.2473786597468401,-0.4122114648938447
6,2006,Japan,Other sectors,-17.118948325425748,0.14268776983292836,-0.23776317118646872
7,2006,Estonia,Non-ferrous metals,-40.27959772355865,0.3548505970721436,-0.559438857271648
8,2006,Estonia,Coal elec. prod.,-26.446855058019317,0.23298848147457293,-0.3673174313613794
9,2006,Estonia,Nickel,-13.83782411614769,0.12190688158045714,-0.19219200161316236
10,2006,Estonia,Aluminium,-12.165096604826054,0.1071706779022283,-0.16895967506702853
11,2006,Estonia,Other sectors,-20.782053717534183,0.18308336197059805,-0.2886396349657525
12,2006,Bulgaria,Coke oven products,-52.83731060622465,0.40090320506428473,-0.586056898789728
13,2006,Bulgaria,Other non-metallic products,-38.96467494290106,0.29564455286747277,-0.4321854442889873
14,2006,Bulgaria,Precious metals prod.,-20.48269649269212,0.15541250260591172,-0.22718842892704338
15,2006,Bulgaria,Construction products,-19.510998159222705,0.14803973946233076,-0.21641061860061953
16,2006,Bulgaria,Other sectors,26.543100077381297,-0.16763486513353265,0.24505558436091604
17,2006,RoW Middle East,Processing Nuclear Fuel,-44.70899191964375,0.513439249039348,-0.5510274852069469
18,2006,RoW Middle East,Copper,-21.370412287568755,0.24541838152628126,-0.26338514994521217
19,2006,RoW Middle East,Natural Gas,-12.360256029254035,0.14194550807588044,-0.1523371586761584
20,2006,RoW Middle East,Crude Petroleum,-8.637811934379181,0.0991968613584903,-0.10645893775565672
21,2006,RoW Middle East,Other sectors,9.806443496799574,-0.10121848842732595,0.10862856557793765
22,2006,Finland,Gas elec. prod.,-27.17925643548964,0.3620468758065271,-0.37748967271513395
23,2006,Finland,Coal elec. prod.,-18.819688437894786,0.25069153082845475,-0.2613845616374276
24,2006,Finland,Gaseous fuels distribution,-9.96111062835452,0.13268902300983704,-0.13834875872714614
25,2006,Finland,Biomass and waste elec. prod.,-8.914755429527775,0.1187508333607457,-0.12381604763233021
26,2006,Finland,Other sectors,-10.196286906389702,0.13582173699443545,-0.14161509592207921
27,2006,Ireland,Precious metals prod.,-43.66530568828251,0.5924037758209761,-0.6064625790039238
28,2006,Ireland,Other sectors,-30.043383335127977,0.40759622417902386,-0.41726921298788855
29,2006,Spain,Coal elec. prod.,-41.90436470624452,0.6859986057212603,-0.5820050653645072
30,2006,Spain,Other sectors,-19.18083919469663,0.3140013942787397,-0.26640054437078653
31,2006,Indonesia,Coal elec. prod.,-24.876914256555494,0.6137962224835113,-0.3455126980077152
32,2006,Indonesia,Gaseous fuels distribution,-6.333566300246796,0.15627014789086727,-0.08796619861453883
33,2006,Indonesia,Iron,-5.320303488097067,0.131269583911489,-0.07389310400134814
34,2006,Indonesia,Other sectors,-3.998814126786648,0.09866404571413248,-0.055539085094259005
35,2006,USA,Coal elec. prod.,-21.587259956495508,0.5467527363389001,-0.2998230549513265
36,2006,USA,Coke oven products,-7.3175666361189045,0.1853361468617697,-0.10163286994609588
37,2006,USA,Other sectors,-10.577847240982692,0.2679111167993302,-0.1469145450136485
0,2006,Mexico,Coal elec. prod.,6.9387825660054165,0.28092433936852584,0.09637198008340857
1,2006,Mexico,Coke oven products,6.79813758928316,0.2752301708605267,0.09441857762893278
2,2006,Mexico,Other sectors,10.962906786024941,0.44384548977094745,0.1522625942503464
3,2006,Cyprus,Coke oven products,35.821728163517605,0.6857624019669131,0.350136298121391
4,2006,Cyprus,Construction products,16.41462667421225,0.31423759803308693,0.1604433095052816
5,2006,Cyprus,Other sectors,-15.474623088609427,-0.22853935303436024,-0.11668753319953727
6,2006,RoW Europe,Coke oven products,17.65917266896333,0.42561485262648463,0.24526628706893508
7,2006,RoW Europe,Gas elec. prod.,9.070498285339724,0.21861379710889248,0.1259791428519406
8,2006,RoW Europe,Coal elec. prod.,4.989306518189607,0.12025042159420082,0.06929592386374454
9,2006,RoW Europe,Other sectors,9.771991557342496,0.23552092867042204,0.1357221049630902
